"","X","X.1","Film","Rating","Actor.Group1","Actor.Group2","Actor.Group3","Actor.Group4","Director","Producer","Writer"
"1",1,1,2018412,5.9,0,0,1,0,5.99800008455912,6.10555564789545,5.99230778522981
"2",2,2,2018501,8.2,0,0,0.125,0.875,8.19999980926514,8.19999980926514,8.19999980926514
"3",3,3,2018973,3.7,0,1,0,0,3.61999998092651,3.5,3.63333332538605
"4",4,4,2019209,4.7,0,0.32,0.68,0,4.69999980926514,5.8395958559159,4.69999980926514
"5",5,5,2019225,8,0,0,0,1,8,7.74000000953674,8
"6",6,6,2019328,7.8,0,0.0125,0.6125,0.375,7.30000003178914,6.36611117711143,6.72500014305115
"7",7,7,2019375,4.9,0,0.181818181818182,0.818181818181818,0,4.45000004768372,5.26111114025116,4.67500007152557
"8",8,8,2019395,8.7,0,0,0.25,0.75,8.69999980926514,8.69999980926514,8.69999980926514
"9",9,9,2019415,6.8,0,0,1,0,6.80000019073486,6.80000019073486,6.80000019073486
"10",10,10,2019466,4.5,0,0.744186046511628,0.255813953488372,0,4.68333331743876,5.4814285993576,4.68333331743876
"11",11,11,2019469,5.2,0,0.142857142857143,0.857142857142857,0,5.79999987284342,5.77499985694885,5.83333320087857
"12",12,12,2019619,6,0,0,1,0,6,6,6
"13",13,13,2019638,5.4,0,0,1,0,5.40000009536743,6.10000012318293,5.40000009536743
"14",14,14,2019952,2.7,0,0.642857142857143,0.357142857142857,0,2.70000004768372,2.70000004768372,3.39166669050852
"15",15,15,2019995,7.8,0,0,0,1,7.46666669845581,7.55000007152557,7.56363638964566
"16",16,16,2020010,6.3,0,0,1,0,6.30000019073486,6.30000019073486,6.30000019073486
"17",17,17,2020060,5.2,0,0,1,0,5.19999980926514,4.93333319822947,5.19999980926514
"18",18,18,2020096,5.3,0,0.111111111111111,0.888888888888889,0,5.30000019073486,5.41666682561239,5.30000019073486
"19",19,19,2020120,6.6,0,0,1,0,6.59999990463257,6.25,6.47500002384186
"20",20,20,2020187,5.7,0,0,1,0,5.78333330154419,5.79166658719381,5.81666652361552
"21",21,21,2020269,6.4,0,0,1,0,5.15000009536743,5.37472226752175,5.15000009536743
"22",22,22,2020272,6,0,0,1,0,6,6,6
"23",23,23,2020447,7.2,0,0,1,0,6.84999990463257,6.35000002384186,6.34999990463257
"24",24,24,2020472,6.8,0,0,1,0,6.80000019073486,6.51250014702479,6.75
"25",25,25,2020591,6.9,0,0,1,0,6.90000009536743,6.90000009536743,6.90000009536743
"26",26,26,2020609,7.5,0,0,1,0,7.5,7.5,7.5
"27",27,27,2020644,7.2,0,0,1,0,5.94999980926514,6.26866664886475,6.52204132880967
"28",28,28,2020698,5,0,0.666666666666667,0.333333333333333,0,6.05833339691162,6.07005659962762,5.60500009059906
"29",29,29,2020781,2.4,0.590909090909091,0.136363636363636,0.272727272727273,0,2.40000009536743,2.7375992757697,2.40000009536743
